D,CODE,T,Offense Description,NC General Statute,Offense Start Date,Offense End Date,CL,Class Start Date,Class End Date,DWI and IC Report,Max Date,(0) Offense Ongoing | (1) Offense Ended | (2) Free Text | (3) No Info Provided,
 ,1221,F,CONSP ROBBERY DANGRS WEAPON,14-87,20020105,99999999,E,20020105,99999999,No,20020105,0,
 ,1222,F,ROBBERY WITH DANGEROUS WEAPON,14-87,00000000,99999999,D,19941001,99999999,No,19941001,0,
 ,1224,F,SAFECRACKING,14-89.1,00000000,99999999,I,19941001,99999999,No,19941001,0,
 ,1226,F,ATTEMPTED COMMON LAW ROBBERY,14-87.1,00000000,99999999,H,19941001,99999999,No,19941001,0,
 ,1228,F,CONSP ARMED ROBBERY BUS/PERS,COMMON LAW,00000000,99999999,E,19941001,99999999,No,19941001,0,
 ,1299,Free Text,ROBBERY - FREE TEXT, ,00000000,99999999,??,19941001,99999999,No,19941001,2,
 ,1301,M,ASSAULT HANDICAPPED PERSON,14-32.1(F),00000000,20181130,1,19941001,20061130,No,20181130,1,
 ,1301,M,ASSAULT HANDICAPPED PERSON,14-32.1(F),00000000,20181130,A1,20061201,20181130,No,20181130,1,
*,1302,F,AWDWIKISI HANDICAPPED PERSON,14-32.1(B),00000000,19941003,Blank, , ,No,19941003,1,
*,1303,F,AWDWISI ON HANDICAPPED PERSON,14-32.1(C),00000000,19941003,Blank, , ,No,19941003,1,
*,1304,F,AWDWIK ON HANDICAPPED PERSON,14-32.1(D),00000000,19941003,Blank, , ,No,19941003,1,
 ,1305,F,FELONY ASSAULT ON HANDICAPPED,14-32.1(E),00000000,20181130,Blank,19941001,20181130,No,20181130,1,
 ,1306,F,PATIENT ABUSE AND NEGLECT(F),14-32.2(A),00000000,99999999,C/E/F/H,19941001,99999999,No,19941001,0,
 ,1307,M,PATIENT ABUSE AND NEGLECT (M),14-32.2(A),19991201,20071130,A1,19991201,99999999,No,20071130,1,
 ,1308,F,MALICIOUS CONDUCT BY PRISONER,14-258.4,20011201,20181130,F,20011201,20181130,No,20181130,1,
 ,1310,M,ASSAULT INDIV W/DISABILITY,14-32.1(F),20181201,99999999,A1,20181201,99999999,No,20181201,0,
